sequence,file,description
73,assembly-step-073.jpg,"W5500 Ethernet module and tray secured"
74,assembly-step-074.jpg,"W5500 tray installed on the third layer"
75,assembly-step-075.jpg,"Top view after W5500 installation"
76,assembly-step-076.jpg,"W5500 Ethernet cable connected to Jetson"
77,assembly-step-077.jpg,"Servo lead connected to ESP32 on the third layer, view 1"
78,assembly-step-078.jpg,"Servo lead connected to ESP32 on the third layer, view 2"
79,assembly-step-079.jpg,"DC motor lead connected to ESP32 on the third layer, view 1"
80,assembly-step-080.jpg,"DC motor lead connected to ESP32 on the third layer, view 2"
81,assembly-step-081.jpg,"Depth camera connected to Jetson on the third layer"
82,assembly-step-082.jpg,"IMU connected to Jetson on the rear half of the third layer"
83,assembly-step-083.jpg,"Legacy arrangement with two LiDAR USB plugs connected to Jetson"
84,assembly-step-084.jpeg,"CP2102 USB-to-TTL adapter"
85,assembly-step-085.jpeg,"Front LiDAR connected to Jetson GPIO"
86,assembly-step-086.jpeg,"Final rear-LiDAR TTL-to-USB connection on the second layer"
87,assembly-step-087.jpeg,"Front LiDAR ZH1.5-4P connection on the second layer"
88,assembly-step-088.jpeg,"ZH1.5-4P LiDAR connector insertion detail"
89,assembly-step-089.jpg,"Self-soldered DC5521 power branch connected to ESP32"
90,assembly-step-090.jpg,"Self-soldered DC5525 power branch connected to Jetson, view 1"
91,assembly-step-091.jpg,"Self-soldered DC5525 power branch connected to Jetson, view 2"
92,assembly-step-092.jpg,"DC main-power switch with identification marking"
93,assembly-step-093.jpg,"Installed DC power-harness switch"
94,assembly-step-094.jpg,"DC power switch and flag-terminal detail, view 1"
95,assembly-step-095.jpg,"DC power switch and flag-terminal detail, view 2"
96,assembly-step-096.jpg,"Complete vehicle, top view"
97,assembly-step-097.jpg,"Complete vehicle, left-side view"
98,assembly-step-098.jpg,"Complete vehicle, right-side view"
99,assembly-step-099.jpg,"Complete vehicle, underside view"
100,assembly-step-100.jpg,"Complete vehicle, front view"
101,assembly-step-101.jpg,"Complete vehicle, rear view"
102,assembly-step-102.jpg,"Newly printed program-start button and its Dupont leads"
103,assembly-step-103.jpeg,"Blue program-start button on the left side"
104,assembly-step-104.jpeg,"Blue program-start button detail"
105,assembly-step-105.jpeg,"Final vehicle, top view"
106,assembly-step-106.jpeg,"Final vehicle, right-side view"
107,assembly-step-107.jpeg,"Final vehicle, left-side view"
108,assembly-step-108.jpeg,"Final vehicle, rear view"
